RowHeader|vs.G_OperatingRevenueAccount|vs.D_G_OperatingRevenueAccount|vs.G_EPSAccount|vs.D_G_EPSAccount|vs.D_GrossMarginAccount|vs.D_OperatingMarginAccount|vs.D_EBITDAMarginAccount|vs.D_NetMarginAccount|vs.ROAAccount|vs.D_ROAAccount|vs.ROEAccount|vs.D_ROEAccount|vs.AssetTOAccount|vs.D_AssetTOAccount|vs.D_R_NetInterestExpense_OperatingProfitAccount|vs.D_R_Debt_EquityAccount|vs.D_CurrentRatioIAccount|vs.D_R_Cash_WCAccount|vs.D_R_Liabilities_AssetsAccount|vs.D_CCCAccount|vs.D_ResearchDevelopmentIntensityAccount
D20160630.ai010816.01|-1.37282690602813017833|-1.77643318924822879445|-1.86653207534252008060|-2.84726027216649768548|-0.28973362511051914403|-0.38709086894706190574|-2.53108296997375248338|-2.03547723058793961215|0.82379823666639540036|-2.32067587262165453410|0.29389565747930368467|-2.12255113832358155435|-0.22674620617747534568|-0.95893266930538523241|-3.04456396392842654208|0.33729621987180946618|-2.06382078081919750900|-2.64355837106833257977|-0.30834857396340809021|0.00704194875086716632|0.33663952274654851404
D20160630.ai010867.01|1.28089680736299937891|2.49663030503706284691|0.59804457582168613072|0.78284346882554411984|-2.28539530611503050039|0.38645250068935382837|0.03625866732320949526|0.20571984378430124840|-0.01262061811955578206|0.58707415675728436000|0.09268649546786969506|0.49266695698092499711|-0.00264799383980274250|0.91033051718780666484|0.33864199194440885998|0.13946016605057354187|3.23807307888529916085|2.42698023651969529979|0.19845034571996789108|-0.06100562899384057158|0.00000000000000000000
D20160630.ai010920.01|0.35511211225044453377|0.41614175550703702555|-1.02563945786734378451|-1.12485822861832041042|-2.14204718250845527194|-1.61680949327952805383|-1.80381081367904494428|-0.64668790085587846139|-0.70406909390953098526|-1.14377619505470562444|0.01551560797882922671|-4.24015421497044897592|-0.06784219214286701938|1.01113694839149159677|0.47235697883996091706|0.12329213748136669260|1.64726294273895534914|0.67225906578081262577|-0.01417345507474945809|0.00000000000000026368|0.00000000000000000000
D20160630.ai010983.01|1.22702757082402369448|2.28046894615166317877|-0.41825339459034194256|-0.58133875021281766760|-0.34750955998988308782|-0.45397220438057245273|-0.50353345303912822040|-0.64171392786432623900|-0.01200242010027214104|-0.39807310872075707397|0.12241371922090431290|-0.43938917477812133860|-0.00673405428866330480|0.59727574530207427905|0.50264664196569153187|0.38385728368867222393|-1.71332112338699138476|-2.71295734159810697506|0.79962982511738145419|-0.39270710578085366027|0.07085351641666388922
D20160630.ai010991.01|0.35661174655983585158|1.33331406970297994263|-0.00000000000000026455|-0.00000000000000052736|0.51180295638015971260|1.35708934589348917399|0.98442881015431693559|2.18473491190950941387|-0.62329221017752400869|1.42620902455785536489|0.00000000000000149880|0.00000000000000026368|0.51331249108369791934|0.78092419575946692145|-2.36401766472317431678|-0.00000000000000038858|0.05017278775384923645|0.59728965055459393163|1.07878843433715321254|-1.67249186210731881630|-0.38695173098073365470
D20160630.ai011032.01|-0.35284382724701957024|-0.10777664983001933319|-0.25007472423876808687|-0.00600836658556806041|-0.50009139687680637110|-0.40915350912774572922|-0.21442199740929282492|-0.10392704287639023542|-0.11709671635654775312|-0.28257088233374044739|0.00384103492598029256|-0.16470256218664330872|-0.02951192236522538759|-0.76203577433342073455|0.01552055401150026492|0.06967132302476458650|0.80403939034842797362|0.52471749074816509406|0.22620717776940366117|0.08724388071696714819|0.00000000000000000000
D20160630.ai011060.01|-0.52214000895720302786|-0.22254378138628111428|0.08702347471769936171|0.06541689538684232474|0.87486554656399362351|-0.07577927845775567217|0.18601133112185752605|0.16067199103927504167|-0.37888034602228193304|-0.15265514219160103426|-0.03277767474903253708|0.08417636785787760423|-0.13001022907469780843|-1.34677688329440226056|0.20882949049642302031|0.60785422900161822923|-1.09995751728097967970|0.09896961814928606493|1.35340304615148410150|1.11911189862240201265|0.00000000000000000000
D20160630.ai011094.01|1.38031498003557784315|0.91548400334533885925|2.03835602358965761738|1.24363948380375677338|-0.95842950443859997733|-0.31643431557676221511|-0.36830665488427360987|0.74389091352772862553|0.26633595820821126532|1.02867798349700834137|0.36038617780750192843|0.80456777407617030562|0.12698029890316842039|0.79753417952823846271|-0.18509533788081877770|-0.77313431184385761341|0.26324323611871291995|-0.17334216928136314539|-2.00181806566030173755|-1.03732419009737508730|-0.17837567963066797150
D20160630.ai011115.01|-0.43783208018284941465|-0.68479688134628458052|-0.81519643903467065016|-0.55939699670376308305|1.40019379426905055119|0.44775595283478841768|0.17645832104393743833|-0.39862617557832163984|-0.42785705244203003916|-0.20869738977125762425|-0.08703092665548156637|-0.25294486982436326095|0.07634774322454818130|0.82617610540983887901|-0.00507136652708210702|-0.19014611264994230044|-0.91662513768933717717|-0.53376509705266106387|-0.67408084313920113573|-0.78899337141514547245|-0.21519852335322273151
D20160630.ai011191.01|1.04006341337137531156|1.08434767829201694767|0.32167190521158472993|0.02197109357161156074|0.73970612597831864043|0.81605656855702335406|1.31641982892660247551|1.38131947652012021521|0.41912771664120440640|1.34220409989869216005|0.26355241281318986246|0.91942136050547240700|1.09485728759286105038|0.42309819406003207343|-0.47265429932504648969|0.02102083197338747156|-0.06102488269223503570|0.06457737989280866453|-0.14241995236216009602|-0.94663201932790963511|-0.09034487908851417115
D20160630.ai011228.01|-0.93830023838642717671|-0.55452275238428816451|-0.62776125999534471145|-0.97718207442566962229|-2.21122686882822261367|-1.95205535257310902608|-1.74316321972287946451|-0.42403853994727724874|-0.31057268610998067793|-0.50930536514864976905|-0.16368915193863464719|-0.26605946849739825488|-0.11200787617883822822|-0.90974431487880669245|-1.26365761778391183512|0.44085664805747015738|1.44333010445654852383|2.02328741467194594961|1.35411128242679623668|0.27666402870128525837|0.00000000000000000000
D20160630.ai011259.01|0.13141544033775326428|0.16714254956600224644|0.13458947610120453042|0.04543476185069154211|-0.16508841265917784114|0.16457686497082593680|0.23335348490476440220|0.02833429855737653810|0.02561910116318999453|0.01642217842401570704|0.14832051179326882773|0.01936908738410025865|0.04442402914833054606|-0.72525340414755279372|0.52143326097793019080|-0.09587930192576482602|-0.63127577011319169209|0.00000000000000000000|-0.26034721860373488678|-0.43688465599874126699|0.00000000000000000000
