type:Account
perform:OperatingRevenue
perform:CostRevenue
perform:GrossProfit
perform:SGAOtherOperating
perform:SellingGeneralAdministrative
perform:ResearchDevelopment
perform:DepreciationAmortizationUnclassifiedOperating
perform:ContingentOtherOperatingExpenses
perform:RecurringEBIT
perform:EBITDA
perform:NonrecurringItemsOperating
perform:OperatingProfit
perform:NonOperatingIncomeExpense
perform:NetInterestExpense
perform:EarningsLossesEquityInvestments
perform:NonoperatingGains
perform:IncomeBeforeIncomeTaxes
perform:ProvisionIncomeTaxes
perform:MinorityInterestParticipationNetTaxEffect
perform:PreferredStockDividendsOtherAdjustments
perform:NonContinuingOperationsItems
perform:NetIncome
perform:CompEarnings
perform:WeightedAverageDilutedShares
perform:EPSdiluted
perform:COMPSdiluted
perform:DividendsPerShare
perform:ChangesWorkingCapitalNet
perform:CashFlowOperations
perform:CapitalExpenditures
perform:AcquisitionsDivestituresNet
perform:NetCashFlowsProvidedUsedInvestingActivities
perform:NetChangeDebt
perform:NetChangeEquity
perform:PaymentsCashDividends
perform:OtherCashFlowsFinancingActivitiesNet
perform:NetCashFlowsProvidedUsedFinancingActivities
perform:EffectExchangeRateCashCashEquivalents
perform:IncreaseDecreaseCashEquivalentsNet
perform:CashTaxesPaid
position:TotalAssets
position:CashShortTermInvestments
position:ReceivablesNet
position:InventoriesNet
position:PrepaidOtherCurrentAssets
position:CurrentAssets
position:PropertyPlantEquipment
position:IntangibleAssets
position:LongTermInvestments
position:DeferredPrepaidExpenses
position:AccountsPayable
position:DebtObligationsCurrent
position:AccruedOtherCurrentLiabilities
position:CurrentLiabilities
position:DebtObligationsLongTerm
position:DeferredOtherNoncurrentLiabilities
position:TotalLiabilities
position:MinorityInterest
position:PreferredEquity
position:BookValue
position:TotalEquityCapital
position:LiabilitiesStockholdersEquity
position:UnconsolidatedInvestments
position:BenefitPlansFunding
position:LegalEnvironmentalARO
position:OffBalanceSheetFinancing
