RowHeader|Beta
ai001004.01|-1.48228430757432860787
ai001045.01|0.74504377290461154537
ai001050.01|-0.79459404642599229529
ai001062.01|-0.79503906526767231799
ai001072.01|-1.12875607616067430428
ai001075.01|-0.51488573262445325174
ai001076.01|-1.15113435663260887942
ai001078.01|-0.47108868263346276306
ai001084.01|0.73269989407445601515
ai001094.01|-1.17464875494762277519
ai001104.01|-0.23640310939108133415
ai001109.01|-0.33197953017789227914
ai001117.02|-0.44106405226661715702
ai001119.01|-1.00282043859425851196
ai001121.01|-1.05392512208751365499
ai001161.01|-1.91757962970656259394
ai001166.01|-1.84952527869013505502
ai001173.01|-0.74717700019279420509
ai001177.01|-1.15652146980715175850
ai001186.01|-0.59645610330293641344
ai001209.01|-1.03150593619394426170
ai001210.01|-0.08688665717064372740
ai001225.17|-0.01637653745052097126
ai001225.18|-0.00898390743176344028
ai001225.23|0.02596522705827749092
ai001228.02|-1.34530674343585054942
ai001230.01|-0.84337249823763715817
ai001234.01|-0.69263823386296519136
ai001254.01|-1.74247060994560087899
ai001257.01|-1.22694592508882349691
ai001266.01|-0.80440412508549574699
ai001274.01|-0.46507303884528172766
ai001297.01|-0.30640493319546480144
ai001300.01|-1.23349950485876980188
ai001327.01|-2.25001545640654310176
ai001331.01|-1.00293217521117306035
ai001352.01|-0.76978440650553325852
ai001356.01|-1.60604849344245703691
ai001356.02|-0.09393004442260922959
ai001380.01|-1.67855038254982913415
ai001382.01|-1.34344430899878708452
ai001393.01|-1.28745265189342794621
ai001408.01|-0.82848256860990032724
ai001410.01|-0.89426827057851676628
ai001414.02|-0.76855183427348705560
ai001417.01|-0.04466141554257403723
ai001439.01|-0.82319815286256381448
ai001440.01|-0.35977224919054279217
ai001441.01|0.35809912287448580903
ai001447.01|-1.04333926120133702042
ai001449.01|-1.56272300631700389317
ai001468.01|-0.67485153199686509495
ai001487.01|-1.56497374415562195971
ai001487.11|-2.09445528965412330891
ai001507.01|-0.30345611476127587469
ai001526.01|-0.43438563032997745683
ai001533.01|-0.96260919528625565889
ai001545.03|-0.98243339447290267685
ai001554.01|-1.25620765834203407252
ai001559.01|-0.07533561816264189304
ai001562.01|-1.36314940572112019979
ai001585.01|-1.16673487229557193423
ai001598.01|-1.30894178054147780621
ai001602.01|-0.44851448821398931521
ai001606.01|1.32365812102423774377
ai001611.01|-1.19744975303177936254
ai001613.01|-1.56998566420498253393
ai001618.01|-0.20404615377650525687
ai001627.02|-2.54765060098523044019
ai001632.01|-1.17816548551044553150
ai001633.01|-1.00740501925563519237
ai001634.01|-0.95266809322692369566
ai001635.01|-0.89442003680570036916
ai001650.01|-2.35056358035070367407
ai001659.01|-1.09923539990224239382
ai001661.01|-2.26934927495027949362
ai001678.01|-1.73837471125403597583
ai001678.06|-1.17889507148845540385
ai001682.01|-1.43523668256703573753
ai001686.01|-1.51848351148219595785
ai001690.01|-1.04010518871207624514
ai001704.01|-1.36951794530379999948
ai001706.01|-1.64603305578727132641
ai001712.01|-1.07364130657242640154
ai001718.01|-15.14042556984725074187
ai001722.01|-1.00717269718088209274
ai001728.01|-0.68263971325581085381
ai001743.02|-1.51422552273695010250
ai001773.01|-1.64989535234834305832
ai001783.01|-0.79791297166469432600
ai001794.01|-1.49826051364768142449
ai001820.01|-0.20386426456306142030
