AIID|DataDate|PeriodName|PeriodEndDate|DataDate_PeriodData|LastReportDate|LastYearDate|LastQuarterDate|SecurityId|SmartEst_BPS|SmartEst_CPS|SmartEst_CPX|SmartEst_CSH|SmartEst_DPS|SmartEst_EBG|SmartEst_EBI|SmartEst_EBT|SmartEst_EPS|SmartEst_FFO|SmartEst_GM|SmartEst_GPS|SmartEst_NAV|SmartEst_NDT|SmartEst_NET|SmartEst_OPR|SmartEst_PRE|SmartEst_REV|SmartEst_ROA|SmartEst_ROE|StndDeviation_BPS|StndDeviation_CPS|StndDeviation_CPX|StndDeviation_CSH|StndDeviation_DPS|StndDeviation_EBG|StndDeviation_EBI|StndDeviation_EBT|StndDeviation_EPS|StndDeviation_FFO|StndDeviation_GM|StndDeviation_GPS|StndDeviation_NAV|StndDeviation_NDT|StndDeviation_NET|StndDeviation_OPR|StndDeviation_PRE|StndDeviation_REV|StndDeviation_ROA|StndDeviation_ROE|SmartEstAnalyst_BPS|SmartEstAnalyst_CPS|SmartEstAnalyst_CPX|SmartEstAnalyst_CSH|SmartEstAnalyst_DPS|SmartEstAnalyst_EBG|SmartEstAnalyst_EBI|SmartEstAnalyst_EBT|SmartEstAnalyst_EPS|SmartEstAnalyst_FFO|SmartEstAnalyst_GM|SmartEstAnalyst_GPS|SmartEstAnalyst_NAV|SmartEstAnalyst_NDT|SmartEstAnalyst_NET|SmartEstAnalyst_OPR|SmartEstAnalyst_PRE|SmartEstAnalyst_REV|SmartEstAnalyst_ROA|SmartEstAnalyst_ROE|ExpFY1ReportDate|ExpFQ1ReportDate
ai001045.04|20170131|FQ3|20170930|2017-01-27|20170127|20161231|20161231|17252|9.77|0.12|NA|NA|0.12|NA|1525730000|2145010000|1.62|NA|14.61|1.66|4418730000|17928080000|792230000|NA|1279020000|11028080000|NA|76|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|20180127|20170423
ai001045.04|20170131|FQ4|20171231|2017-01-27|20170127|20161231|20161231|17252|9.9|-0.6|NA|NA|0.12|NA|960360000|1551210000|0.96|NA|8.54|0.77|4478120000|19169120000|435840000|NA|682140000|10142390000|NA|32.96|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|20180127|20170423
ai001045.04|20170131|FY1|20171231|2017-01-27|20170127|20161231|20161231|17252|11.58|3.92|5537760000|NA|0.45|NA|4624330000|7166080000|4.61|NA|16.99|4.53|5676380000|22117390000|2268110000|NA|3657610000|41580590000|4.46|49.7|NA|NA|NA|NA|NA|NA|NA|NA|0.06|NA|NA|NA|NA|NA|NA|NA|NA|0.01|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|11|NA|NA|NA|NA|NA|NA|NA|NA|13|NA|NA|20180127|20170423
ai001045.04|20170131|FY2|20181231|2017-01-27|20170127|20161231|20161231|17252|15.4|-0.19|3982870000|NA|0.48|NA|4980810000|7734810000|5.29|NA|11.68|5.26|5110360000|23082530000|2493050000|NA|4020170000|42964550000|4.84|42.6|NA|NA|NA|NA|NA|NA|NA|NA|0.09|NA|NA|NA|NA|NA|NA|NA|NA|0.01|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|11|NA|NA|NA|NA|NA|NA|NA|NA|13|NA|NA|20180127|20170423
ai001045.04|20170131|FY3|20191231|2017-01-27|20170127|20161231|20161231|17252|21.87|8.96|4354380000|NA|0.61|NA|5398940000|8662620000|6.68|NA|NA|6.27|2303160000|11265210000|2878770000|NA|4676700000|44660130000|4.93|19.51|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|20180127|20170423
ai001045.04|20170131|FY4|20201231|2017-01-27|20170127|20161231|20161231|17252|NA|NA|NA|NA|0.4|NA|6.492e+09|8.634e+09|8.58|NA|NA|NA|5.964e+09|NA|3.265e+09|NA|NA|4.5128e+10|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|20180127|20170423
ai001072.01|20170131|FQ1|20170331|2017-01-31|20170124|20160331|20161231|17281|NA|NA|1430000|NA|0.11|NA|42100000|53100000|0.19|NA|22|0.19|NA|NA|31700000|NA|44100000|325300000|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|NA|NA|NA|NA|NA|NA|NA|NA|1|NA|NA|20170424|20170424
ai001072.01|20170131|FQ2|20170630|2017-01-31|20170124|20160331|20161231|17281|NA|NA|NA|NA|0.11|NA|42900000|5.4e+07|0.19|NA|22.5|0.19|NA|NA|32300000|NA|44900000|322600000|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2|NA|NA|NA|NA|NA|NA|NA|NA|1|NA|NA|20170424|20170424
ai001072.01|20170131|FQ3|20170930|2017-01-31|20170124|20160331|20161231|17281|NA|NA|NA|NA|0.11|NA|46400000|57600000|0.19|NA|23|0.21|NA|NA|34900000|NA|48400000|331800000|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|20170424|20170424
ai001072.01|20170131|FQ4|20171231|2017-01-31|20170124|20160331|20161231|17281|NA|NA|NA|NA|0.11|NA|45500000|56700000|0.2|NA|23|0.2|NA|NA|34200000|NA|47500000|324700000|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|20170424|20170424
