RowHeader|vs.G_OperatingRevenueAccount|vs.D_G_OperatingRevenueAccount|vs.G_EPSAccount|vs.D_G_EPSAccount|vs.D_GrossMarginAccount|vs.D_OperatingMarginAccount|vs.D_EBITDAMarginAccount|vs.D_NetMarginAccount|vs.ROAAccount|vs.D_ROAAccount|vs.ROEAccount|vs.D_ROEAccount|vs.AssetTOAccount|vs.D_AssetTOAccount|vs.D_R_NetInterestExpense_OperatingProfitAccount|vs.D_R_Debt_EquityAccount|vs.D_CurrentRatioIAccount|vs.D_R_Cash_WCAccount|vs.D_R_Liabilities_AssetsAccount|vs.D_CCCAccount|vs.D_ResearchDevelopmentIntensityAccount
D20160430.ai024893.01|0.26471978865938200487|0.61998837129979023075|0.00595382987084780435|0.23965570509874234428|0.40579687869961000857|0.06828454851409643256|0.08199739678599304860|0.02668287640912869740|0.41269428744176800405|0.07937138106268037951|0.04909571311986057895|0.05574300574156056121|0.14900163933455057297|2.05717698235564094844|0.72273251534463811563|0.13993220203981932004|2.41553138561761437941|0.07995171117544398742|0.79386048981706991423|0.00546417529816645153|0.00000000000000000000
D20160430.ai024925.01|0.36228068997104434512|0.56852799771040274379|0.14766892590560376508|0.03079775740330607803|0.33514170066505527545|0.64695691910845642969|0.61847055648569804198|0.40373551087214115674|0.33332322490642035673|0.32087835941486275715|0.07370682153843446938|0.06889760148906362569|0.08824155758005036709|0.35986902032105033689|0.78670051590134915109|0.55255431355879724986|1.87050232655989634445|2.16596685159639656959|1.11198302551075922651|0.31339911064878445135|0.69031112443899678155
D20160430.ai024975.01|0.43065117125629104322|0.44002858191551497136|0.26923098659733735172|0.45270798145010676672|1.19453469736046913319|0.50367010837975700888|1.20116105273626194716|0.22025650424413389938|0.15330215438197664080|0.05789203050675917339|0.09954577593971919436|0.29072951940124414083|0.02008516218390687946|0.31818898204078538416|0.15462352018871780568|0.01614275210299304097|0.05673686503662300762|2.01609427268575513992|0.06089880911769636473|0.00000000000000000000|1.12571700781757133569
D20160430.ai025056.01|0.17065224993209088256|0.31919027380533065985|0.13149231427958354979|0.02640999784809591744|0.01868630844795979989|0.36490070984132616516|0.46641125786833292910|0.18843585439228974221|0.02813888190922372856|0.15044270145347660161|0.11807412001374786858|0.22017432871872152922|0.01231854231122708754|0.11989447803455299812|0.43297867728487371419|0.09571374548974498353|0.96106023526398642876|0.02167686972397733780|0.21955660281283123636|1.04778369280697813970|0.00000000000000000000
D20160430.ai025119.01|0.32228825493522628154|0.10376790851540956817|0.04753686778692894910|0.53056550097257559884|1.13173692879031406733|0.58402517326389546959|0.44674627085032153628|0.00807317378780109118|0.04717279111455330298|0.00490437119163750213|0.09757178416063855275|0.10323017081701309217|0.03432410301301863642|0.09511744055559209765|1.00321481788243960231|0.46028904725047808943|3.37201155224313708914|2.74138103947270650451|1.58568673726531317314|0.12049727148081965100|0.00000000000000000000
D20160430.ai025124.01|1.21808927557084034632|1.35917638833217546690|0.15813951733301823133|0.13205666957606254641|0.58697167122919247095|0.44410940083229610842|0.88759402257559216753|0.22346474391081144750|0.11114790289488041264|0.01588148455876360957|0.11361530660386587321|0.38795909745269446800|0.02164853854665571564|0.39446394831192099772|0.06391603733425060829|0.44692015827544601114|2.64831597234238413918|3.24290792550341810951|0.41796967994899891785|0.88321228300019327673|0.00119096438764260126
D20160430.ai025180.01|0.98106082307178210655|0.19988972982748154372|0.68894165844775723251|1.09942447512811192212|0.24618603569530819741|0.20149888968743318030|0.02736991949987682693|0.18031612946049357937|0.17677208425558255112|0.30539563594406815561|0.06613302553079669632|0.25619727901634842260|0.04895902211657392200|0.75389684206533602584|1.09792115828494285523|0.21262862457401487948|1.88289872154867010678|0.24657728862176611639|0.33985208962879859262|0.89560882074318004520|0.18617558440174294954
D20160430.ai025279.01|0.09326875935362682890|0.21306040837791639930|0.49473665606118433224|0.13445284800875817455|3.04154839765950324448|1.04633377665991988970|0.73194307722187679222|0.23651797851464251288|0.62121538463143233244|0.16717226827588627103|0.67002885052041183389|0.08784299827545638539|0.05828848306945577651|0.19968229431689255016|0.05487584882923968177|2.33430865080421146018|2.78680744957773240955|0.36359288595275973677|2.95310872817876735041|4.58223425095648906336|3.35996855836657459804
D20160430.ai025283.01|0.06387752787749412242|0.03385870585958807716|0.73178190937356601964|1.23065925407090026589|0.38907954826893986766|0.45553769844096547725|0.43966765960217146780|0.25404331879850355902|0.10102416511487213868|0.48903251477256570734|0.05058836855685312772|0.46152967134527689286|0.00908859805748185590|0.40425613347851463431|0.33725908741049581696|0.28242564141100967579|0.11263514121524645373|0.74463649209511262317|0.55037558588529089665|0.00000000000000000000|0.00000000000000000000
D20160430.ai025338.01|0.03739560067756070305|0.17415250180626098975|0.22899908496262300073|0.05503887234105531850|0.00680453838356009921|0.15855231883840803508|0.21462350125585349936|0.05260319681689137883|0.28960345693035938197|0.17028897817740956677|0.26160923427989302148|0.87610315235428393166|0.07606285033525783668|0.45544912349736343948|0.05902999302289474448|0.21901631995939963016|1.02002985807189006096|0.08432350384389190878|0.41509846473927480837|0.00000000000000000000|0.00000000000000000000
D20160430.ai025340.01|0.02798273879735824199|1.41993579008739700953|0.09792075195665622678|0.27907285055365482762|0.09268657135481876697|0.07482407044060129797|0.00380183189725594173|0.07187242854369715883|0.17595088540705761115|0.14366552332399812331|0.03270334216482775197|0.03650685432994876800|0.22959326782586403359|1.14507482625022416478|0.52848399385992950172|0.01533370397128619445|0.00000000000000027756|0.00000000000000000000|0.15297965403548707819|2.10212699480799436458|0.00000000000000000000
D20160430.ai025356.01|0.12815402469490555504|0.91582368926280310895|0.50450277007401123086|0.05121347921136393255|0.08280039371613383270|0.02633017225241796044|0.09410585829083009668|0.07825789868476212829|0.14657311621604479646|0.23238308621947861843|0.26358102650913828313|0.10386719088081891593|0.05521683704750501853|0.78425570247838349847|0.41844531059497891423|0.67088960418210719094|0.10606799994961590983|0.00000000000000000000|0.92514767261118446839|0.07895374755462492011|0.00000000000000000000
