RowHeader|TotalReturns.1
ai001104.01|0.02786065573770502013
ai001225.23|0.02049497293116742114
ai001300.01|0.03329077048139539308
ai001410.01|0.03558394160583944199
ai001598.01|0.02049280312271317683
ai001634.01|0.02542372881355947634
ai001682.01|0.02072141212586320336
ai001706.01|0.03154681139755788344
ai001891.01|0.03491313880924273860
ai001968.01|0.02919278462922014761
ai002150.01|0.02920921082378913347
ai002369.01|0.02355808285946370262
ai002393.01|0.03076274757690655726
ai002403.01|0.02296624239070266249
ai002411.90|0.02863659401926033077
ai002435.02|0.02224409238892777196
ai002448.01|0.03087409874677482513
ai002504.01|0.03466906798739266549
ai002504.03|0.03464743579612172830
ai002536.01|0.02650874224478250163
ai002558.01|0.01879147990199236951
ai002628.01|0.03712851958125362728
ai002697.01|0.02428998505231705352
ai002807.01|0.03398501735793879597
ai002960.01|0.02409000661813376354
ai002991.01|0.02529413893769638655
ai003007.01|0.01954795357361072128
ai003028.01|0.02041447571914623005
ai003062.01|0.03880738286795981651
ai003230.03|0.02105263157894743387
ai003243.23|0.03952385854341700089
ai003619.01|0.02667723190702586678
ai003643.01|0.03655340327127176714
ai003707.01|0.01914614919687895878
ai003735.01|0.02786584348406440093
ai003851.03|0.02735781137508963567
ai003937.01|0.03038674033149169063
ai004001.01|0.03571428571428558740
ai004087.01|0.01860678548823124778
ai004093.01|0.01861768781649231208
ai004108.01|0.02379281750334816259
ai004274.01|0.02656098506883819432
ai004331.01|0.02125507101520152098
ai004383.01|0.03104925053533236223
ai004418.01|0.03806228373702391643
ai004460.01|0.03825877391173371223
ai004598.01|0.03923114834893981495
ai004674.03|0.02001934405144689677
ai004690.01|0.02976600137646223665
ai004723.01|0.02658610271903305566
ai004860.01|0.01962595243592635263
ai004885.01|0.03192577440093447017
ai004988.01|0.02241467142129383028
ai005024.01|0.02262749071259739786
ai005046.01|0.02518853695324341224
ai005379.01|0.02761795166858505013
ai005385.08|0.02276234567901247452
ai005439.01|0.02040314650934127449
ai005523.01|0.02166666666666716701
ai005543.01|0.03319267974021444800
ai005543.06|0.03170522707797762685
ai005543.07|0.02851711026615899591
ai005572.01|0.02430939226519335250
ai005581.01|0.03219341939914954764
ai005680.01|0.02361028093245653992
ai005750.02|0.02451838879159362605
ai005763.07|0.02188679245283009500
ai005764.01|0.02534843413153220482
ai005783.01|0.03549873643526080258
ai005860.01|0.02531152647975121184
ai005862.01|0.03770430906389354853
ai005959.01|0.02451838879159384810
ai005978.01|0.02168367346938793183
ai006078.01|0.03620616214681304790
ai006097.01|0.03708523096942162312
ai006100.01|0.02327725282323100942
ai006135.01|0.02600314969628780837
ai006196.01|0.02437574316290147536
ai006233.02|0.01938775510204071573
ai006266.01|0.03786363636363621055
ai006334.01|0.03038906477004110762
ai006334.02|0.03289377289377259928
ai006338.01|0.03159294978383742070
ai006410.01|0.03475343573160838417
ai006424.02|0.02649006622516569820
ai006497.01|0.02231237322515222665
ai006547.01|0.02104208416833674988
ai006565.01|0.02819640252795330149
ai006573.01|0.02392947103274600806
ai006649.01|0.03872282608695720718
ai006653.01|0.03074141048824574618
ai006730.01|0.02740149706175243338
ai006737.01|0.03931021694789538223
ai006742.01|0.01932367149758462688
ai006742.06|0.02538576406172299293
ai006774.01|0.02619665720567598832
ai006848.01|0.01901140684410584925
ai006867.01|0.03602058319039436185
ai006932.01|0.03218566780273546257
ai006946.01|0.01856459330143467312
ai007107.01|0.02732793522267207287
ai007151.01|0.03347934592939583176
ai007251.01|0.03385872737886730377
ai007275.01|0.02328953161791069704
ai007420.01|0.01973404428562774982
ai007422.04|0.03588143525741038786
ai007437.01|0.02896003186621465275
ai007450.12|0.03001949317738827894
ai007481.01|0.03679653679653616116
ai007506.01|0.02135493372606811491
ai007549.01|0.02648401826484048094
ai007549.02|0.02959253357614355373
ai007620.01|0.02814854155971047156
ai007647.16|0.02222222222222214327
ai007647.27|0.02312065564850684929
ai007647.30|0.01851851851851882280
ai007762.01|0.03599182004090017983
ai007882.02|0.02204176334106699997
ai007912.01|0.03046476244911988651
ai007970.01|0.02822580765102822298
ai007974.01|0.02478727339992592427
ai007977.01|0.03311735061195086871
ai007980.01|0.02222222222222236532
ai007982.01|0.03321678321678378509
ai007985.01|0.01829643296432914568
ai008007.06|0.03951081843838188945
ai008007.08|0.02825343278575442874
ai008007.09|0.02165437590461305462
ai008073.01|0.03371165773596018767
ai008092.01|0.02597402597402620472
ai008169.01|0.01802757158006373928
ai008245.09|0.02290679304897280666
ai008245.12|0.02365114560236514230
ai008266.02|0.02804597701149424971
ai008272.01|0.03610926049300489105
ai008334.01|0.03153153153153098742
ai008358.01|0.02091792441488427023
ai008431.01|0.03289473684210553195
ai008457.05|0.02793320235756424630
ai008486.01|0.02531645569620244451
ai008544.90|0.03600987367503982739
ai008551.01|0.02506940355009668053
ai008579.01|0.03596127247579561370
