RowHeader|TotalReturns.1
ai001109.01|-0.42796610169491533515
ai001166.01|-0.16078629032258029419
ai001228.02|-0.11233547597183979327
ai001254.01|-0.04317386231038511379
ai001417.01|-0.03121672007452291897
ai001441.01|-0.28571428571428569843
ai001559.01|-0.05714285714285671780
ai001611.01|-0.47058823529411786257
ai001661.01|-0.02987769398807749166
ai001682.01|-0.06766917293233043473
ai001783.01|-0.05469678953626677664
ai001794.01|-0.04706938566115170808
ai001864.01|-0.04242424242424247538
ai001906.01|-0.11251664447403442182
ai001949.01|-0.03703703703703720151
ai002124.01|-0.08183632734530943420
ai002124.03|-0.06302521008403383362
ai002222.01|-0.14893617021276550627
ai002237.01|-0.29679896462467603158
ai002271.01|-0.11214333112143348714
ai002290.01|-0.03007518796992447729
ai002340.01|-0.63126843657817111044
ai002369.01|-0.03465608465608438493
ai002444.01|-0.06092206366630115166
ai002467.01|-0.05188679245283034369
ai002497.01|-0.03123961448986312117
ai002573.01|-0.13589364844903994989
ai002581.01|-0.03333333333333343695
ai002586.01|-0.22222222222222187682
ai002593.01|-0.07014681892332808033
ai002644.01|-0.13978494623655923768
ai002751.01|-0.09339089770356634457
ai002817.01|-0.05846053913608351138
ai002818.01|-0.05737547727339986636
ai002831.01|-0.09615384615384592326
ai002940.03|-0.07738557020946479348
ai002942.01|-0.03437198843559241546
ai002968.01|-0.02984464431725220024
ai003107.01|-0.25333857030636308671
ai003107.05|-0.19270101398828165529
ai003138.01|-0.07809873146874501959
ai003158.01|-0.06378551123167497394
ai003230.03|-0.05567010309278341840
ai003243.23|-0.04573872984534366193
ai003275.01|-0.06932488175238815664
ai003358.02|-0.09335324869305428042
ai003581.01|-0.07771471563818288519
ai003581.02|-0.07349336793540972579
ai003806.01|-0.02912621359223344086
ai003807.01|-0.04353562005277022973
ai003820.01|-0.06161137440758257533
ai004090.01|-0.05392181588902877909
ai004115.01|-0.06014319809069146316
ai004130.01|-0.20454545454545447480
ai004175.01|-0.08712328767123300732
ai004292.01|-0.12857142857142866976
ai004384.01|-0.52941176470588224845
ai004390.01|-0.03767560664112390434
ai004409.01|-0.10165484633569754624
ai004415.01|-0.04390243902439006085
ai004418.01|-0.15999999999999980904
ai004476.01|-0.10638297872340429784
ai004494.01|-0.08030888030888005957
ai004510.01|-0.05135801682876028895
ai004598.01|-0.06735716559410420690
ai004600.02|-0.25371287128712838310
ai004844.01|-0.09310344827586247707
ai004864.01|-0.05029093931837058662
ai004878.01|-0.47368421052631592971
ai004900.01|-0.07850834151128549543
ai004903.01|-0.08564602095203110999
ai004911.01|-0.04832772225609494043
ai004918.01|-0.18823529411764705621
ai004926.01|-0.04379740641057050521
ai005045.01|-0.50000000000000000000
ai005234.01|-0.02926453600308021041
ai005241.01|-0.06523407521105084594
ai005313.01|-0.02940338332270542310
ai005327.01|-0.42857142857142849213
ai005442.01|-0.05384615384615376588
ai005559.04|-0.03628318584070799879
ai005560.01|-0.14615505871165090923
ai005581.01|-0.08391186236039915869
ai005667.01|-0.07116423034263097414
ai005697.01|-0.08366533864541803034
ai005788.01|-0.03165007112375561871
ai005831.01|-0.06045751633986928830
ai005837.01|-0.46666666666666678509
ai005973.01|-0.10000000000000019984
ai005978.01|-0.03662089055347461652
ai006014.01|-0.29577464788732432677
ai006040.01|-0.05925925925925923377
ai006158.01|-0.10062026188835249130
ai006193.01|-0.26829268292682917352
ai006215.01|-0.35866666666666657814
ai006233.02|-0.09309309309309288238
ai006304.01|-0.03688823959094211791
ai006308.01|-0.17863009785015349085
ai006315.01|-0.16666666666666651864
ai006315.02|-0.35971223021582743318
ai006386.01|-0.03557312252964428545
ai006528.01|-0.10245161290322557512
ai006588.01|-0.76470588235294112422
ai006608.01|-0.16666666666666662966
ai006737.01|-0.02984482690045842102
ai006831.01|-0.08108108108108103007
ai006865.01|-0.04631798074421000777
ai006930.01|-0.03716216216216206014
ai007095.01|-0.05587668593448913423
ai007121.01|-0.10714285714285731732
ai007124.01|-0.38400000000000000799
ai007152.01|-0.13600628930817582063
ai007192.01|-0.17948717948717940462
ai007260.01|-0.08948119942884324995
ai007279.01|-0.04128053917438911924
ai007350.01|-0.06666666666666676289
ai007389.01|-0.06666666666666720698
ai007471.90|-0.04479815701991418653
ai007509.02|-0.15309446254071656934
ai007509.03|-0.07729049066435111914
ai007576.01|-0.08108108108108080803
ai007602.01|-0.20000000000000017764
ai007636.01|-0.04603716735996332687
ai007662.01|-0.04347826086956496638
ai007694.02|-0.04580152671755710614
ai007817.01|-0.12500000000000000000
ai007850.01|-0.51351351351351359753
ai007914.01|-0.13000000000000044853
ai007920.01|-0.44722222222222207666
ai007938.01|-0.08142537441900521422
ai007951.01|-0.06853496115427337720
ai007993.01|-0.03798024149286527429
ai008020.90|-0.05938529953917071058
ai008068.01|-0.04065966323928293935
ai008214.08|-0.06562043795620453590
ai008357.01|-0.10084033613445342326
ai008358.01|-0.03069432684165962488
ai008423.01|-0.08862629246676445582
ai008446.01|-0.14001138303927129769
ai008493.01|-0.05882363649603161715
ai008497.01|-0.50000000000000000000
ai008551.01|-0.12313650684176824512
ai008605.02|-0.11070780399274082750
